U 19 | F 077824 | FPS 0468 | D 181 | rR:μσmM 0.37 0.31 0.00 0.97 | F:μσmM 97.9 48.8 5.0 234.0 | H 1.867 | V 0.148 | pL 0.001 | vL 0.014 | ∇ 0.067
U 20 | F 081920 | FPS 0456 | D 190 | rR:μσmM 0.22 0.28 0.00 0.69 | F:μσmM 219.0 125.2 56.0 422.0 | H 1.916 | V 0.076 | pL 0.035 | vL 0.001 | ∇ 0.018
Status saved
U 21 | F 086016 | FPS 0477 | D 199 | rR:μσmM 0.43 0.38 0.00 0.97 | F:μσmM 98.0 105.2 5.0 737.0 | H 1.867 | V 0.191 | pL -0.016 | vL 0.030 | ∇ 0.059
U 22 | F 090112 | FPS 0455 | D 208 | rR:μσmM 0.21 0.32 0.00 0.92 | F:μσmM 218.4 119.6 24.0 370.0 | H 1.891 | V 0.124 | pL 0.059 | vL 0.004 | ∇ 0.050
U 23 | F 094208 | FPS 0454 | D 217 | rR:μσmM 0.51 0.34 0.00 0.98 | F:μσmM 75.0 49.2 4.0 155.0 | H 1.816 | V 0.259 | pL -0.008 | vL 0.027 | ∇ 0.117
U 24 | F 098304 | FPS 0467 | D 226 | rR:μσmM 0.24 0.32 0.00 0.96 | F:μσmM 229.4 116.4 6.0 383.0 | H 1.905 | V 0.123 | pL 0.077 | vL 0.002 | ∇ 0.024
U 25 | F 102400 | FPS 0454 | D 235 | rR:μσmM 0.55 0.36 0.00 0.96 | F:μσmM 78.5 92.5 7.0 678.0 | H 1.845 | V 0.198 | pL -0.039 | vL 0.027 | ∇ 0.065
U 26 | F 106496 | FPS 0455 | D 244 | rR:μσmM 0.32 0.34 0.00 0.93 | F:μσmM 204.8 122.9 12.0 453.0 | H 1.908 | V 0.134 | pL 0.069 | vL 0.005 | ∇ 0.032
U 27 | F 110592 | FPS 0449 | D 253 | rR:μσmM 0.46 0.34 0.00 0.98 | F:μσmM 82.4 49.9 3.0 144.0 | H 1.841 | V 0.233 | pL -0.016 | vL 0.025 | ∇ 0.108
U 28 | F 114688 | FPS 0450 | D 262 | rR:μσmM 0.20 0.26 0.00 0.91 | F:μσmM 227.9 120.1 15.0 410.0 | H 1.909 | V 0.104 | pL 0.059 | vL 0.002 | ∇ 0.018
