update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,672.7480677142141,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9316250290721655,0.05702741719627132,0.029850903491023928,0.00011616583667735843,0.006481081583658649,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,706.2755645129264,5,0.0,0.0,0,0,0.0,0.0,0,0,1.9438680050273736,0.035206462683466576,0.018253287838888355,2.9397030695340238e-05,0.0029041762886899067,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,658.6809940714425,9,0.08046874962747097,0.19616532337348885,0.0,0.762499988079071,65.125,136.5489266709922,0.0,375.0,1.9409173130989075,0.03521840283065103,-0.008109498281858881,0.00599699906983157,0.025586373877275758,0.08046874962747097,0.19616532337348885,0.0,0.762499988079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,687.1199537394368,12,0.10406249947845936,0.20744563257785384,0.0,0.762499988079071,96.6875,171.69002546377,0.0,505.0,1.9404738278438647,0.06371225137263536,0.020450419099991752,0.0011942029536745242,0.019349438544928994,0.10406249947845936,0.20744563257785384,0.0,0.762499988079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,662.9595644839592,15,0.03960937447845936,0.10696607724531305,0.0,0.3774999976158142,469.4375,134.5422650833187,23.0,528.0,1.9400390057514112,0.03880918691478049,0.022398327457873773,5.9921407495740674e-05,0.0040617444123464495,0.03960937447845936,0.10696607724531305,0.0,0.3774999976158142
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,406.58791953246674,20,0.012343750335276127,0.047807139478266654,0.0,0.19750000536441803,233.9375,54.9925776241667,177.0,371.0,1.9431591307123501,0.015598710416573644,0.018111615771582972,0.0006267101667181881,0.015934262066663003,0.012343750335276127,0.047807139478266654,0.0,0.19750000536441803
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,495.93615572998834,24,0.01015624962747097,0.03933498566712035,0.0,0.16249999403953552,70.4375,54.623677043476306,29.0,272.0,1.9444353710860014,0.012457404346302306,0.005638287033737773,0.0001346164718967202,0.007670663620156208,0.01015624962747097,0.03933498566712035,0.0,0.16249999403953552
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,613.2684452776899,27,0.047968750819563866,0.14908371269582432,0.0,0.6050000190734863,76.0625,54.70085551204844,31.0,272.0,1.9385965236773093,0.006700710185972032,-0.0009155648250877372,0.001522688576110968,0.012227799151118967,0.047968750819563866,0.14908371269582432,0.0,0.6050000190734863
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,588.129524498109,31,0.10312499850988388,0.2215226049931135,0.0,0.7124999761581421,238.22222222222223,72.28996822639252,46.0,272.0,1.9332749440024297,0.022628358411414713,-0.026968173093280257,0.012556827954199434,0.04343274097063555,0.10312499850988388,0.2215226049931135,0.0,0.7124999761581421
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,448.8419758539989,35,0.09960937406867743,0.23009072326905128,0.0,0.7124999761581421,235.625,76.13957167596887,46.0,272.0,1.939355527361234,0.031496925696653,0.015407351029959196,5.895112589371365e-05,0.004668697459039165,0.09960937406867743,0.23009072326905128,0.0,0.7124999761581421
11,22528,580.364634728622,39,0.11249999867545234,0.22279006944676824,0.0,0.8374999761581421,244.22222222222223,64.70407470902136,26.0,272.0,1.932748418301344,0.032820863309704386,-0.005881385733421969,0.008206290218671105,0.02192083332693695,0.11249999867545234,0.22279006944676824,0.0,0.8374999761581421
12,24576,600.1389476864188,42,0.026718749664723873,0.07100131279756758,0.0,0.23250000178813934,134.125,29.878660863566157,82.0,191.0,1.930164170761903,0.02671150529931765,0.025213853714376455,0.0009718929516490485,0.022998946030833956,0.026718749664723873,0.07100131279756758,0.0,0.23250000178813934
13,26624,562.9885858602145,46,0.1827205892871408,0.34488469004508177,0.0,0.918749988079071,107.70588235294117,50.578726876590586,13.0,167.0,1.915493340541919,0.021476703025352133,-0.009347864737113317,0.01783893640348803,0.05273453399799702,0.1827205892871408,0.34488469004508177,0.0,0.918749988079071
14,28672,526.1111820424086,50,0.16835937649011612,0.3505330008083206,0.0,0.918749988079071,110.625,50.72705762214087,13.0,167.0,1.9282596483826637,0.07567238116947313,0.03774373013099345,0.00023289477966651853,0.00920984194044291,0.16835937649011612,0.3505330008083206,0.0,0.918749988079071
15,30720,322.54252982808913,56,0.09648437425494194,0.21346253291474543,0.0,0.731249988079071,256.9375,60.03485315839458,43.0,318.0,1.9254620801657438,0.047068218467757106,0.02064858276814145,0.009055326878751657,0.03233798917814925,0.09648437425494194,0.21346253291474543,0.0,0.731249988079071
16,32768,199.52227620462259,66,0.09648437425494194,0.21346253291474543,0.0,0.731249988079071,256.9375,60.03485315839458,43.0,318.0,1.9355669176826875,0.04618383709263677,0.021791052388531778,8.722415728830886e-05,0.0049937236026794405,0.09648437425494194,0.21346253291474543,0.0,0.731249988079071
17,34816,324.08760784814115,73,0.09882812667638063,0.24439237500674957,0.0,0.8812500238418579,259.1875,72.14500913957943,19.0,400.0,1.9137261894841988,0.03482603485463187,0.006567290285602212,0.009248197590314552,0.03917655423961488,0.09882812667638063,0.24439237500674957,0.0,0.8812500238418579
18,36864,458.2793295135629,77,0.021718749776482582,0.0578435298153942,0.0,0.19249999523162842,109.75,69.88785659898292,33.0,325.0,1.9326356140275796,0.02292251674225554,0.017848679171341548,0.00035888732141605334,0.011715598326240792,0.021718749776482582,0.0578435298153942,0.0,0.19249999523162842
19,38912,509.937722535489,81,0.12986111144224802,0.26751618957441126,0.0,0.8500000238418579,146.27777777777777,63.42082163835432,24.0,239.0,1.923984106009205,0.0440951486434642,-0.005789831775473431,0.009597321748988938,0.07637768793345966,0.12986111144224802,0.26751618957441126,0.0,0.8500000238418579
20,40960,483.9681971314947,86,0.19140625186264515,0.3093503416058707,0.0,0.8500000238418579,147.3125,72.17748848325218,5.0,239.0,1.9411582152048747,0.014817472285358235,0.008015991845923054,1.8224490522319076e-05,0.002737729438188411,0.19140625186264515,0.3093503416058707,0.0,0.8500000238418579
21,43008,499.26792420369355,90,0.21367187425494194,0.27488650720468377,0.0,0.8125,205.6875,95.9372964167221,5.0,341.0,1.9289056720832984,0.05815729352859004,-0.04892577737336978,0.010638157593348296,0.05415684484573472,0.21367187425494194,0.27488650720468377,0.0,0.8125
22,45056,521.1782037125765,94,0.16835937276482582,0.24499350732698288,0.0,0.8125,235.5625,98.26556412981101,30.0,384.0,1.9346481108417113,0.04631101220729761,0.021037358411073608,0.0016123693338461937,0.021940969973329325,0.16835937276482582,0.24499350732698288,0.0,0.8125
23,47104,514.5919741012693,98,0.03671874990686774,0.08463141007130857,0.0,0.3125,274.25,119.87884508953195,16.0,400.0,1.9381694470842679,0.036038621687718354,0.009740135815718531,0.0012764996078355277,0.01892913710337471,0.03671874990686774,0.08463141007130857,0.0,0.3125
24,49152,521.4263293042978,102,0.08749999850988388,0.21365311733984238,0.0,0.8299999833106995,142.25,87.30800364227784,29.0,293.0,1.937667918081085,0.025726352583054297,-0.017189715623014006,0.00877127113210463,0.02750424310419665,0.08749999850988388,0.21365311733984238,0.0,0.8299999833106995
25,51200,547.2893515349099,105,0.16906250268220901,0.27849677130504846,0.0,0.7562500238418579,143.35,76.62002022970238,33.0,272.0,1.9295729628453653,0.09743723207308601,-0.018247749427246163,0.01645309754652165,0.05912363604455358,0.16906250268220901,0.27849677130504846,0.0,0.7562500238418579
26,53248,593.8686427225856,109,0.23398437723517418,0.30946943931568044,0.0,0.7562500238418579,137.125,66.98775541097045,39.0,272.0,1.9418323257317145,0.05914181761909276,0.035970126254445255,0.00046376824024226454,0.012780491164599088,0.23398437723517418,0.30946943931568044,0.0,0.7562500238418579
27,55296,535.7625198020021,113,0.20937500149011612,0.28554874775385924,0.0,0.7250000238418579,219.125,83.68458266012922,45.0,371.0,1.9351600259542465,0.04532867357678091,-0.0034287626137180873,0.007378828743677938,0.039904956000710166,0.20937500149011612,0.28554874775385924,0.0,0.7250000238418579
28,57344,563.8872062077693,116,0.12851562723517418,0.23644883770003983,0.0,0.7250000238418579,232.125,66.29467833091884,70.0,359.0,1.9383794727424781,0.0480134718430539,0.03177959060394642,0.0006217107163971983,0.020066367399842664,0.12851562723517418,0.23644883770003983,0.0,0.7250000238418579
29,59392,465.59296490719424,121,0.21011904875437418,0.3281354968421991,0.0,0.9375,191.42857142857142,130.90075172710468,10.0,400.0,1.9232952514042456,0.07511125885260601,-0.010919489088943616,0.014618681051009238,0.054893059423845016,0.21011904875437418,0.3281354968421991,0.0,0.9375
30,61440,567.3153963438193,124,0.0560156237334013,0.17335680121784994,0.0,0.7024999856948853,126.3125,82.4634151836437,16.0,272.0,1.9371054799606402,0.06413436906101803,0.007499087186867352,0.004849300007587469,0.03271085770536659,0.0560156237334013,0.17335680121784994,0.0,0.7024999856948853
31,63488,576.1849859001295,128,0.3690340901640328,0.33086103393622707,0.0,0.9312499761581421,125.86363636363636,86.00015615976596,11.0,272.0,1.9088070789972942,0.12849278788780794,-0.05655899114935892,0.030525123273643356,0.17643389744720675,0.3690340901640328,0.33086103393622707,0.0,0.9312499761581421
32,65536,610.0895511745094,131,0.4215624984353781,0.3444687068897013,0.0,0.9312499761581421,115.0625,89.78618264382332,11.0,272.0,1.9277422117690246,0.09077533974777907,0.03328284121137889,0.0017879694089894353,0.02608871358079844,0.4215624984353781,0.3444687068897013,0.0,0.9312499761581421
33,67584,569.998664374799,135,0.1355468719266355,0.24754377503380365,0.0,0.8999999761581421,252.8125,74.64601358244123,16.0,377.0,1.925768667832017,0.059374683788822345,0.010512325183299254,0.006188549867450395,0.03464776917561798,0.1355468719266355,0.24754377503380365,0.0,0.8999999761581421
34,69632,595.1134366205946,138,0.08843749761581421,0.24368087309502182,0.0,0.8999999761581421,180.25,79.11739694909079,16.0,336.0,1.9296296040217082,0.03459809619622926,0.04222987340957237,0.0004960835152966562,0.017179412477780636,0.08843749761581421,0.24368087309502182,0.0,0.8999999761581421
35,71680,574.7339153734999,142,0.37850000023841857,0.3600697833320969,0.0,0.9624999761581421,98.0,79.02455314647467,6.0,272.0,1.881875195230047,0.13273531629238278,-0.08898456729851507,0.03456387168019622,0.14047517238309257,0.37850000023841857,0.3600697833320969,0.0,0.9624999761581421
36,73728,461.2401780733556,146,0.28125,0.33485654200188375,0.0,0.9624999761581421,117.5,73.7436437938891,6.0,272.0,1.9147830388198297,0.07961750356480479,0.04969877239879376,0.0008827052691155283,0.027314090996176554,0.28125,0.33485654200188375,0.0,0.9624999761581421
37,75776,584.401371278665,150,0.25972222288449603,0.3255418977774356,0.0,0.96875,194.94444444444446,92.8645801525726,5.0,272.0,1.9052002876996994,0.06938637772691436,0.008256351246927807,0.006746817500849526,0.06071467410027948,0.25972222288449603,0.3255418977774356,0.0,0.96875
38,77824,667.3589895843813,153,0.18054687418043613,0.29396367525263367,0.0,0.96875,179.3125,101.7304764746042,5.0,272.0,1.937226727604866,0.035223089274950325,0.016781534160448548,0.0012750885753689545,0.012275731218664543,0.18054687418043613,0.29396367525263367,0.0,0.96875
39,79872,715.9112266653043,156,0.22078124806284904,0.3155807088254731,0.0,0.9312499761581421,191.8125,112.33889506199533,11.0,400.0,1.9131425333519776,0.04818338518574213,-0.006549477911297193,0.007814146142588166,0.04360240852053002,0.22078124806284904,0.3155807088254731,0.0,0.9312499761581421
