U 19 | F 077824 | FPS 0418 | D 199 | rR:μσmM 0.31 0.32 0.00 0.91 | F:μσmM 104.5 46.3 14.0 172.0 | H 1.896 | V 0.087 | pL -0.051 | vL 0.016 | ∇ 0.049
U 20 | F 081920 | FPS 0414 | D 209 | rR:μσmM 0.17 0.29 0.00 0.91 | F:μσmM 231.5 124.7 14.0 431.0 | H 1.914 | V 0.076 | pL 0.034 | vL 0.002 | ∇ 0.021
Status saved
U 21 | F 086016 | FPS 0426 | D 219 | rR:μσmM 0.37 0.36 0.00 0.98 | F:μσmM 117.0 120.5 4.0 768.0 | H 1.892 | V 0.102 | pL -0.010 | vL 0.013 | ∇ 0.046
U 22 | F 090112 | FPS 0411 | D 229 | rR:μσmM 0.15 0.24 0.00 0.83 | F:μσmM 238.8 116.5 64.0 492.0 | H 1.927 | V 0.061 | pL 0.033 | vL 0.001 | ∇ 0.032
U 23 | F 094208 | FPS 0411 | D 239 | rR:μσmM 0.43 0.34 0.00 0.98 | F:μσmM 87.4 49.6 3.0 176.0 | H 1.906 | V 0.099 | pL -0.016 | vL 0.009 | ∇ 0.024
U 24 | F 098304 | FPS 0426 | D 248 | rR:μσmM 0.24 0.29 0.00 0.92 | F:μσmM 226.9 135.3 33.0 568.0 | H 1.914 | V 0.059 | pL 0.017 | vL 0.003 | ∇ 0.019
U 25 | F 102400 | FPS 0415 | D 258 | rR:μσmM 0.39 0.33 0.00 0.92 | F:μσmM 109.4 90.9 13.0 469.0 | H 1.886 | V 0.178 | pL -0.026 | vL 0.021 | ∇ 0.103
U 26 | F 106496 | FPS 0404 | D 268 | rR:μσmM 0.22 0.31 0.00 0.80 | F:μσmM 220.4 98.1 79.0 394.0 | H 1.898 | V 0.105 | pL 0.039 | vL 0.006 | ∇ 0.037
U 27 | F 110592 | FPS 0437 | D 278 | rR:μσmM 0.52 0.28 0.00 0.94 | F:μσmM 80.2 60.5 10.0 390.0 | H 1.841 | V 0.238 | pL -0.067 | vL 0.029 | ∇ 0.126
U 28 | F 114688 | FPS 0413 | D 288 | rR:μσmM 0.19 0.30 0.00 0.93 | F:μσmM 225.5 101.1 11.0 360.0 | H 1.908 | V 0.102 | pL 0.028 | vL 0.005 | ∇ 0.019
U 29 | F 118784 | FPS 0437 | D 297 | rR:μσmM 0.59 0.31 0.00 0.96 | F:μσmM 72.0 92.0 6.0 742.0 | H 1.780 | V 0.285 | pL -0.056 | vL 0.032 | ∇ 0.076
U 30 | F 122880 | FPS 0412 | D 307 | rR:μσmM 0.30 0.33 0.00 0.93 | F:μσmM 211.0 133.7 12.0 480.0 | H 1.875 | V 0.154 | pL 0.049 | vL 0.007 | ∇ 0.045
Status saved
U 31 | F 126976 | FPS 0428 | D 317 | rR:μσmM 0.54 0.34 0.00 0.96 | F:μσmM 70.2 49.1 6.0 144.0 | H 1.781 | V 0.239 | pL 0.037 | vL 0.023 | ∇ 0.100
U 32 | F 131072 | FPS 0412 | D 327 | rR:μσmM 0.30 0.28 0.00 0.88 | F:μσmM 222.5 94.3 66.0 371.0 | H 1.850 | V 0.170 | pL 0.049 | vL 0.004 | ∇ 0.040
U 33 | F 135168 | FPS 0417 | D 336 | rR:μσmM 0.59 0.31 0.00 0.98 | F:μσmM 63.4 44.7 4.0 144.0 | H 1.782 | V 0.282 | pL -0.024 | vL 0.029 | ∇ 0.079
U 34 | F 139264 | FPS 0430 | D 346 | rR:μσmM 0.29 0.32 0.00 0.94 | F:μσmM 207.5 107.4 22.0 408.0 | H 1.864 | V 0.127 | pL 0.031 | vL 0.010 | ∇ 0.049
