update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,4096,492.6159852523759,13,0.0838235298938611,0.19844361075133443,0.0,0.800000011920929,140.94117647058823,40.65706014694604,32.0,272.0,1.9411932298292716,0.03271088826295454,-0.0009412454395108701,0.0022961211925955163,0.028745141602833785,0.0838235298938611,0.19844361075133443,0.0,0.800000011920929
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,8192,487.11354232459155,21,0.06882812571711838,0.19347938458149652,0.0,0.800000011920929,279.03125,158.7136738703931,32.0,496.0,1.944590860977769,0.00917549932091788,0.004914004681268125,2.628269265395981e-05,0.002846593149158625,0.06882812571711838,0.19347938458149652,0.0,0.800000011920929
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,12288,470.61462337874013,30,0.13075657816309677,0.2732802878841387,0.0,0.96875,191.76315789473685,122.07879987737996,5.0,689.0,1.9288566963126261,0.025669569926928187,-0.011021439871001348,0.00805827842934074,0.02771047464768017,0.13075657816309677,0.2732802878841387,0.0,0.96875
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,16384,442.3908068945304,39,0.02851562574505806,0.11044054361729332,0.0,0.45625001192092896,248.625,50.68638254008664,87.0,288.0,1.9435049549986918,0.00395480585242088,0.005794433088946486,4.0698820388485046e-05,0.0037096176338549977,0.02851562574505806,0.11044054361729332,0.0,0.45625001192092896
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,20480,407.106396834745,49,0.07234848448724458,0.1681282745758644,0.0,0.6187499761581421,171.03030303030303,100.89943533748504,61.0,446.0,1.9272212535142899,0.014464194621117107,-0.012401598037058648,0.0025750025121548483,0.024750892715632078,0.07234848448724458,0.1681282745758644,0.0,0.6187499761581421
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,24576,393.5623427886299,59,0.02296874951571226,0.09311123351420786,0.0,0.47749999165534973,228.59375,117.84095727266264,62.0,360.0,1.9418450438727934,7.68471250012226e-05,-0.0012899957661337187,2.5415716907654467e-05,0.0023606902952858773,0.02296874951571226,0.09311123351420786,0.0,0.47749999165534973
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,28672,277.52307483822085,74,0.14464285586561476,0.2750208695002368,0.0,0.8500000238418579,134.6,50.25773572297105,24.0,234.0,1.8957401762406032,0.07663442726091792,0.026060582862555748,0.010490837989436841,0.04129870395818515,0.14464285586561476,0.2750208695002368,0.0,0.8500000238418579
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,32768,225.8769018835332,92,0.13781249709427357,0.2489265961784285,0.0,0.762499988079071,230.65625,117.3532619313903,38.0,400.0,1.924956561376651,0.03651104915964728,0.01785064218408176,0.0002748178962027244,0.009201359792328273,0.13781249709427357,0.2489265961784285,0.0,0.762499988079071
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,36864,335.3652074687845,105,0.19767857364245822,0.29741853075815,0.0,0.78125,135.68571428571428,115.74300878080132,35.0,768.0,1.9106501452624798,0.060516216491426654,-0.031618110357158,0.018620587969659635,0.05793277618203115,0.19767857364245822,0.29741853075815,0.0,0.78125
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,40960,414.73395311988406,114,0.1311718737706542,0.26827718572409226,0.0,0.7799999713897705,247.8125,101.24951774576509,88.0,360.0,1.9318959632267554,0.057235067060294874,-0.0036524079381100214,0.008432275879575476,0.03128919218152821,0.1311718737706542,0.26827718572409226,0.0,0.7799999713897705
11,45056,348.75941361200086,126,0.20416666546629536,0.29017475414167576,0.0,0.824999988079071,121.63888888888889,45.15169049239449,28.0,233.0,1.9122127089649439,0.09647515874045591,0.0032258182300211047,0.013579910043214719,0.02596886724672134,0.20416666546629536,0.29017475414167576,0.0,0.824999988079071
12,49152,339.0481709415743,138,0.07550781220197678,0.19705395066247566,0.0,0.7749999761581421,252.71875,133.60160795603284,36.0,484.0,1.9358377953370411,0.05022221202185998,0.028542372635759723,0.00016842466730082606,0.005080327441475541,0.07550781220197678,0.19705395066247566,0.0,0.7749999761581421
13,53248,370.25339154042575,149,0.2626602580914131,0.3139022630714588,0.0,0.918749988079071,139.87179487179486,125.11352372887336,13.0,768.0,1.913037108257413,0.10855896190817778,-0.028252827708456607,0.012266967231577533,0.04579184571170497,0.2626602580914131,0.3139022630714588,0.0,0.918749988079071
