U 569 | F 1165312 | FPS 0327 | D 113 | rR:μσmM 0.65 0.38 0.00 0.95 | F:μσmM 86.3 52.3 26.0 247.0 | H 1.787 | V 0.241 | pL 0.060 | vL 0.020 | ∇ 0.096
U 570 | F 1167360 | FPS 0364 | D 118 | rR:μσmM 0.50 0.40 0.00 0.95 | F:μσmM 155.0 178.1 7.0 720.0 | H 1.800 | V 0.216 | pL 0.007 | vL 0.028 | ∇ 0.100
Status saved
U 571 | F 1169408 | FPS 0393 | D 123 | rR:μσmM 0.50 0.36 0.00 0.97 | F:μσmM 207.2 180.4 14.0 720.0 | H 1.807 | V 0.173 | pL 0.045 | vL 0.009 | ∇ 0.074
U 572 | F 1171456 | FPS 0394 | D 129 | rR:μσmM 0.38 0.36 0.00 0.91 | F:μσmM 181.0 141.3 9.0 556.0 | H 1.829 | V 0.123 | pL 0.019 | vL 0.015 | ∇ 0.078
U 573 | F 1173504 | FPS 0376 | D 134 | rR:μσmM 0.43 0.40 0.00 0.95 | F:μσmM 119.3 139.3 2.0 556.0 | H 1.814 | V 0.174 | pL -0.027 | vL 0.027 | ∇ 0.124
U 574 | F 1175552 | FPS 0381 | D 139 | rR:μσmM 0.35 0.41 0.00 0.91 | F:μσmM 212.1 258.5 5.0 720.0 | H 1.832 | V 0.133 | pL 0.045 | vL 0.013 | ∇ 0.076
U 575 | F 1177600 | FPS 0395 | D 145 | rR:μσmM 0.36 0.41 0.00 0.96 | F:μσmM 215.8 251.1 5.0 720.0 | H 1.828 | V 0.172 | pL -0.047 | vL 0.031 | ∇ 0.133
U 576 | F 1179648 | FPS 0408 | D 150 | rR:μσmM 0.31 0.39 0.00 0.90 | F:μσmM 202.9 259.6 7.0 720.0 | H 1.826 | V 0.155 | pL -0.021 | vL 0.026 | ∇ 0.117
U 577 | F 1181696 | FPS 0369 | D 155 | rR:μσmM 0.56 0.37 0.00 0.90 | F:μσmM 247.8 234.9 20.0 720.0 | H 1.834 | V 0.151 | pL -0.051 | vL 0.020 | ∇ 0.113
U 578 | F 1183744 | FPS 0368 | D 161 | rR:μσmM 0.43 0.39 0.00 0.92 | F:μσmM 177.8 168.7 28.0 720.0 | H 1.858 | V 0.070 | pL 0.015 | vL 0.012 | ∇ 0.075
U 579 | F 1185792 | FPS 0380 | D 166 | rR:μσmM 0.24 0.35 0.00 0.92 | F:μσmM 188.2 212.3 18.0 720.0 | H 1.841 | V 0.096 | pL -0.010 | vL 0.012 | ∇ 0.076
U 580 | F 1187840 | FPS 0387 | D 172 | rR:μσmM 0.17 0.29 0.00 0.85 | F:μσmM 183.7 227.0 7.0 720.0 | H 1.834 | V 0.120 | pL 0.006 | vL 0.020 | ∇ 0.108
Status saved
U 581 | F 1189888 | FPS 0401 | D 177 | rR:μσmM 0.32 0.38 0.00 0.85 | F:μσmM 150.7 192.3 6.0 720.0 | H 1.838 | V 0.126 | pL -0.065 | vL 0.028 | ∇ 0.098
U 582 | F 1191936 | FPS 0381 | D 182 | rR:μσmM 0.22 0.36 0.00 0.93 | F:μσmM 91.6 73.1 6.0 217.0 | H 1.824 | V 0.142 | pL -0.017 | vL 0.038 | ∇ 0.154
U 583 | F 1193984 | FPS 0382 | D 187 | rR:μσmM 0.22 0.39 0.00 0.93 | F:μσmM 113.1 163.1 13.0 720.0 | H 1.837 | V 0.129 | pL 0.023 | vL 0.018 | ∇ 0.085
U 584 | F 1196032 | FPS 0398 | D 193 | rR:μσmM 0.46 0.41 0.00 0.90 | F:μσmM 150.5 165.4 1.0 720.0 | H 1.817 | V 0.148 | pL -0.094 | vL 0.035 | ∇ 0.124
U 585 | F 1198080 | FPS 0397 | D 198 | rR:μσmM 0.54 0.37 0.00 0.91 | F:μσmM 141.5 98.3 1.0 313.0 | H 1.789 | V 0.215 | pL -0.091 | vL 0.032 | ∇ 0.135
U 586 | F 1200128 | FPS 0365 | D 203 | rR:μσmM 0.41 0.42 0.00 0.92 | F:μσmM 90.8 61.9 3.0 222.0 | H 1.794 | V 0.231 | pL -0.001 | vL 0.026 | ∇ 0.133
U 587 | F 1202176 | FPS 0350 | D 209 | rR:μσmM 0.36 0.41 0.00 0.94 | F:μσmM 90.1 82.9 2.0 309.0 | H 1.796 | V 0.215 | pL -0.001 | vL 0.033 | ∇ 0.209
