update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,121.45012084732507,16,0.09453125018626451,0.23625160366518733,0.0,0.925000011920929,14.875,37.36789230074396,0.0,123.0,1.9425002508796751,0.08351938941147334,0.030037410623284206,0.0016158681786967815,0.03232544196941671,0.09453125018626451,0.23625160366518733,0.0,0.925000011920929
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,126.0049313336839,33,0.09453125018626451,0.23625160366518733,0.0,0.925000011920929,14.875,37.36789230074396,0.0,123.0,1.9316591212215524,0.08097754809811401,0.04304202751033396,0.00016923867423609037,0.014820641476298099,0.09453125018626451,0.23625160366518733,0.0,0.925000011920929
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,124.0892475732675,49,0.14804687444120646,0.25766301410900383,0.0,0.925000011920929,58.3125,115.44842936891779,0.0,359.0,1.9325791850375633,0.07325622992357239,0.010566107303020544,0.004325998020870747,0.04893446490242811,0.14804687444120646,0.25766301410900383,0.0,0.925000011920929
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,123.82733563594348,66,0.14804687444120646,0.25766301410900383,0.0,0.925000011920929,58.3125,115.44842936891779,0.0,359.0,1.9414266810442011,0.029464305540993035,0.015497651200651793,5.789755990707387e-05,0.00841528915626453,0.14804687444120646,0.25766301410900383,0.0,0.925000011920929
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,124.51079447956968,82,0.0757352937670315,0.19933116944291238,0.0,0.8125,452.0,139.38140647370523,30.0,528.0,1.9408650865467887,0.03315480390635154,-0.014057653526985328,0.00829467505710709,0.03991292296638554,0.0757352937670315,0.19933116944291238,0.0,0.8125
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,116.38836842372257,100,0.0,0.0,0.0,0.0,205.4375,23.769646479281093,135.0,216.0,1.9395555540298421,0.009142338014801984,0.020158023288937937,4.162889942790391e-05,0.006336780340983154,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,125.36631201740991,116,0.04007352800930247,0.1602941120372099,0.0,0.6812499761581421,65.6470588235294,23.3488661431987,51.0,137.0,1.938243998369823,0.016347014438603463,-0.01080036118840629,0.005913805201436399,0.04071966275456446,0.04007352800930247,0.1602941120372099,0.0,0.6812499761581421
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,123.88968922301636,133,0.04257812350988388,0.16490436326654276,0.0,0.6812499761581421,66.25,23.938723859053137,51.0,137.0,1.9445822738731902,-0.004312866601139831,-0.002876503349180363,3.9326409470547e-05,0.0050064677654239826,0.04257812350988388,0.16490436326654276,0.0,0.6812499761581421
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,117.18739158293172,150,0.07773437350988388,0.1825915917108252,0.0,0.6812499761581421,246.125,60.33021113007976,51.0,272.0,1.9430215874065955,0.001542498977566235,-0.002557859106085895,0.0003403539241933022,0.00897767960812479,0.07773437350988388,0.1825915917108252,0.0,0.6812499761581421
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,123.68161759394341,167,0.07773437350988388,0.1825915917108252,0.0,0.6812499761581421,246.125,60.33021113007976,51.0,272.0,1.9428408627087872,0.01776727931428468,0.007012131206882562,6.389945777300159e-05,0.007962957032658698,0.07773437350988388,0.1825915917108252,0.0,0.6812499761581421
