#{"t_start": 1673387625.7902908, "env_id": "MiniGrid-Empty-Random-6x6-v0"}
r,l,t
0,144,14.998953
0,144,18.299666
0.25,120,21.559077
0.975,4,21.57659
0.75625,39,21.752039
0.6625,54,21.98154
0.78125,35,24.81751
0.84375,25,24.92635
0.48125,83,27.975207
0.93125,11,28.022713
0.73125,43,28.211814
0.75,40,28.40591
0.98125,3,28.417627
0.96875,5,28.439356
0.79375,33,31.304131
0.91875,13,31.359016
0.85,24,31.493358
0.9625,6,31.519793
0.925,12,31.587786
0.80625,31,31.76381
0.8625,22,31.862448
0.825,28,34.690357
0.84375,25,34.798297
0.96875,5,34.825201
0.9375,10,34.874404
0.9125,14,34.940497
0.86875,21,35.054653
0.98125,3,35.067655
0.79375,33,37.893874
0.9375,10,37.939831
0.6625,54,38.190127
0.975,4,38.207082
0.44375,89,41.33779
0.88125,19,41.427415
0.9375,10,41.509793
0.9375,10,41.562458
0.925,12,41.633005
0.91875,13,41.687077
0.825,28,41.808261
0.9875,2,55.803209
0.975,4,55.825418
0.96875,5,55.851981
0.95625,7,55.889578
0.9375,10,55.936468
0.99375,1,55.940944
0.875,20,56.040852
0.94375,9,56.08406
0.96875,5,56.110378
0.95,8,56.147392
0.98125,3,56.161016
0.975,4,56.18168
0.56875,69,59.409186
0.8875,18,59.494242
0.98125,3,59.508387
0.94375,9,59.556048
0.925,12,59.630491
0.94375,9,59.688378
0.9875,2,59.697136
0.81875,29,59.835694
0.94375,9,59.876099
0.91875,13,59.938843
0.94375,9,62.747529
0.95,8,62.787189
0.90625,15,62.85658
0.975,4,62.875083
0.94375,9,62.915646
0.9625,6,62.942499
0.93125,11,62.998691
0.95,8,63.040014
0.9125,14,63.100873
0.95,8,63.159522
0.9625,6,63.186948
0.9875,2,63.196149
0.91875,13,63.253045
0.98125,3,63.267139
0.9875,2,63.276349
0.9625,6,63.302815
0.90625,15,66.085583
0.9375,10,66.133782
0.95625,7,66.164983
0.98125,3,66.177656
0.9625,6,66.204926
0.9375,10,66.249429
0.95,8,66.28705
0.95,8,66.324512
0.9375,10,66.375382
0.9625,6,66.401189
0.96875,5,66.421621
0.99375,1,66.426411
0.99375,1,66.431328
0.94375,9,66.494482
0.98125,3,66.507386
0.95,8,66.542021
0.975,4,66.561033
0.85625,23,66.662201
0.94375,9,69.404567
0.9625,6,69.433258
0.9625,6,69.459078
0.9625,6,69.48611
0.9625,6,69.513459
0.90625,15,69.588078
0.9375,10,69.649435
0.9375,10,69.698087
0.9125,14,69.781443
0.95625,7,69.812394
0.95,8,69.85322
0.8875,18,69.945681
0.9375,10,69.994541
0.96875,5,72.733935
0.93125,11,72.789516
0.91875,13,72.848817
0.94375,9,72.889734
0.95,8,72.925327
0.95625,7,72.960039
0.9375,10,73.008324
0.98125,3,73.025356
0.975,4,73.044814
0.95,8,73.078736
0.9875,2,73.08772
0.975,4,73.107128
0.9125,14,73.195547
0.91875,13,73.253416
0.94375,9,73.293171
0.9625,6,73.321092
0.95,8,76.067635
0.96875,5,76.093381
0.9875,2,76.103885
0.925,12,76.16047
0.975,4,76.178437
0.95625,7,76.209704
0.925,12,76.265561
0.96875,5,76.291046
0.9625,6,76.320501
0.96875,5,76.343208
0.95,8,76.386772
0.975,4,76.405177
0.86875,21,76.527531
0.9625,6,76.554847
0.975,4,76.57302
0.9625,6,76.599392
0.95625,7,76.631442
0.925,12,76.687365
0.8625,22,79.484156
0.95,8,79.520623
0.975,4,79.539566
0.975,4,79.557266
0.95,8,79.606948
0.9625,6,79.642672
0.94375,9,79.689414
0.98125,3,79.702662
0.98125,3,79.716668
0.9875,2,79.724835
0.98125,3,79.740017
0.98125,3,79.753122
0.9875,2,79.763026
0.95,8,79.824037
0.95625,7,79.856099
0.95625,7,79.887755
0.9875,2,79.897349
0.94375,9,79.942581
0.95,8,79.983834
0.95,8,80.019396
0.95625,7,82.774132
0.95,8,82.814066
0.95,8,82.850065
0.95625,7,82.882212
0.9625,6,82.908282
0.94375,9,82.949702
0.9625,6,82.982667
0.98125,3,82.997696
0.88125,19,83.090747
0.975,4,83.108785
0.975,4,83.15109
0.95,8,83.187708
0.98125,3,83.201269
0.96875,5,83.223145
0.93125,11,83.273891
0.95,8,83.312273
0.96875,5,83.33539
0.9875,2,83.345755
0.98125,3,83.360699
0.875,20,86.157908
0.96875,5,86.18199
0.9375,10,86.227964
0.98125,3,86.241739
0.9,16,86.319502
0.98125,3,86.334945
0.96875,5,86.35844
0.95625,7,86.395446
0.9625,6,86.421842
0.93125,11,86.495918
0.94375,9,86.535511
0.95625,7,86.566666
0.95,8,86.603179
0.96875,5,86.62536
0.9875,2,86.635063
0.98125,3,86.649424
0.9625,6,86.675607
0.93125,11,100.144124
0.99375,1,100.153519
0.95,8,100.210031
0.96875,5,100.239802
0.9,16,100.33551
0.94375,9,100.38341
0.975,4,100.404694
0.975,4,100.429352
0.975,4,100.453335
0.96875,5,100.481337
0.975,4,100.502387
0.95625,7,100.562838
0.9625,6,100.596363
0.95,8,100.641762
0.98125,3,100.658364
0.98125,3,100.676308
0.975,4,100.69586
0.925,12,100.757864
0.96875,5,100.785244
0.96875,5,100.810933
0.975,4,100.833085
0.96875,5,100.859883
0.9375,10,103.65815
0.95625,7,103.692943
0.975,4,103.710997
0.95625,7,103.743505
0.925,12,103.798204
0.95625,7,103.83276
0.9625,6,103.863939
0.95625,7,103.898398
0.98125,3,103.915567
0.98125,3,103.930446
0.98125,3,103.944352
0.99375,1,103.949135
0.9375,10,104.026935
0.96875,5,104.052266
0.9625,6,104.083869
0.975,4,104.103628
0.98125,3,104.118885
0.9375,10,104.167894
0.96875,5,104.192319
0.94375,9,104.235582
0.975,4,104.25431
0.9875,2,104.264223
0.95625,7,107.012607
0.9625,6,107.040905
0.95625,7,107.073238
0.975,4,107.093197
0.975,4,107.112185
0.98125,3,107.126395
0.98125,3,107.139778
0.925,12,107.196831
0.95625,7,107.234678
0.96875,5,107.262874
0.96875,5,107.292879
0.96875,5,107.318202
0.95625,7,107.352
0.95,8,107.411433
0.9625,6,107.442646
0.975,4,107.462638
0.93125,11,107.514082
0.98125,3,107.52798
0.9625,6,107.554603
0.96875,5,107.576976
0.975,4,107.596539
0.96875,5,107.619893
0.94375,9,110.370659
0.95625,7,110.406934
0.9625,6,110.434807
0.99375,1,110.440354
0.96875,5,110.463688
0.95625,7,110.496718
0.9875,2,110.506043
0.98125,3,110.520297
0.9375,10,110.571781
0.9625,6,110.603667
0.98125,3,110.617976
0.9375,10,110.667731
