#{"t_start": 1673387625.80044, "env_id": "MiniGrid-Empty-Random-6x6-v0"}
r,l,t
0.6875,50,11.822381
0.44375,89,14.967596
0.81875,29,15.089767
0,144,18.400559
0,144,21.765804
0.98125,3,21.778339
0.83125,27,21.89369
0.85,24,21.993844
0.66875,53,24.906826
0.79375,33,25.056043
0.98125,3,25.070416
0.9625,6,25.105964
0,144,28.424991
0.69375,49,31.358482
0,144,34.779342
0.96875,5,34.804938
0.85625,23,34.916561
0.96875,5,34.940333
0.58125,67,37.93856
0.9875,2,37.947995
0.93125,11,37.995317
0.9625,6,38.021646
0.9125,14,38.088066
0.975,4,38.107664
0.93125,11,38.162297
0.85625,23,38.284602
0.7,48,41.212691
0.75625,39,41.386127
0.9875,2,41.397489
0.9375,10,41.446756
0.7625,38,41.673271
0.8,32,55.798922
0.875,20,55.904176
0.7375,42,56.110048
0.975,4,56.128548
0.9625,6,56.156076
0.975,4,56.228979
0.76875,37,56.432871
0.91875,13,56.493774
0.7375,42,59.513362
0.9125,14,59.600759
0.98125,3,59.615127
0.875,20,59.722582
0.9625,6,59.750132
0.96875,5,59.77791
0.99375,1,59.783022
0.98125,3,59.797789
0.88125,19,59.882683
0.93125,11,59.937899
0.98125,3,59.949477
0.9375,10,62.768854
0.96875,5,62.790971
0.9625,6,62.819351
0.8875,18,62.900765
0.91875,13,62.964502
0.9375,10,63.012259
0.99375,1,63.018019
0.91875,13,63.077366
0.9625,6,63.105195
0.9375,10,63.172928
0.95625,7,63.20346
0.93125,11,63.252856
0.9625,6,63.279388
0.91875,13,63.337206
0.975,4,66.069916
0.95,8,66.109338
0.95,8,66.145993
0.925,12,66.199377
0.93125,11,66.247628
0.96875,5,66.272001
0.95625,7,66.306077
0.99375,1,66.310402
0.98125,3,66.325076
0.925,12,66.382671
0.975,4,66.398929
0.95625,7,66.430442
0.8125,30,66.586327
0.94375,9,66.625395
0.9125,14,69.388832
0.95625,7,69.423288
0.95625,7,69.454669
0.94375,9,69.494362
0.95,8,69.529682
0.95625,7,69.56481
0.9625,6,69.604554
0.96875,5,69.634276
0.93125,11,69.688497
0.8875,18,69.789126
0.95625,7,69.82147
0.75625,39,72.73379
0.975,4,72.755264
0.93125,11,72.806657
0.975,4,72.825133
0.98125,3,72.838923
0.91875,13,72.897881
0.95,8,72.935228
0.98125,3,72.950295
0.98125,3,72.964928
0.975,4,72.984873
0.94375,9,73.030306
0.9375,10,73.07368
0.94375,9,73.140988
0.9375,10,73.185699
0.9625,6,73.212703
0.9125,14,73.274372
0.93125,11,73.325453
0.98125,3,73.339778
0.95,8,76.089203
0.9625,6,76.118824
0.9625,6,76.145842
0.95,8,76.180709
0.94375,9,76.222845
0.9875,2,76.231771
0.94375,9,76.27623
0.94375,9,76.319729
0.95625,7,76.359159
0.9625,6,76.386599
0.975,4,76.40453
0.925,12,76.486436
0.98125,3,76.500271
0.95625,7,76.531824
0.95625,7,76.562932
0.9,16,76.634759
0.98125,3,76.648854
0.9125,14,79.409124
0.91875,13,79.469915
0.96875,5,79.492049
0.9875,2,79.50162
0.95,8,79.538777
0.94375,9,79.589073
0.96875,5,79.622536
0.975,4,79.642169
0.9625,6,79.67473
0.9375,10,79.720333
0.9375,10,79.792263
0.975,4,79.809796
0.95625,7,79.841969
0.95,8,79.87791
0.95,8,79.915532
0.88125,19,80.009681
0.9875,2,80.018326
0.95625,7,82.775205
0.94375,9,82.818148
0.96875,5,82.840306
0.96875,5,82.863259
0.95625,7,82.894128
0.9625,6,82.921793
0.925,12,82.983272
0.9625,6,83.010338
0.95,8,83.05288
0.9625,6,83.081461
0.95625,7,83.113558
0.94375,9,83.177802
0.9625,6,83.204456
0.9625,6,83.232095
0.93125,11,83.283445
0.925,12,83.340833
0.9625,6,83.369871
0.96875,5,86.093891
0.94375,9,86.139268
0.98125,3,86.153151
0.95,8,86.190867
0.98125,3,86.204825
0.98125,3,86.218453
0.96875,5,86.240554
0.95625,7,86.273561
0.95625,7,86.309887
0.925,12,86.37167
0.9625,6,86.398691
0.95,8,86.435464
0.96875,5,86.481595
0.975,4,86.499244
0.95625,7,86.530177
0.975,4,86.548871
0.975,4,86.566417
0.96875,5,86.589008
0.975,4,86.606922
0.98125,3,86.621201
0.98125,3,86.63499
0.95,8,86.670773
0.98125,3,86.684483
0.98125,3,100.090391
0.96875,5,100.143675
0.9625,6,100.186212
0.98125,3,100.206238
0.96875,5,100.236908
0.9625,6,100.269067
0.9625,6,100.305614
0.95625,7,100.348379
0.96875,5,100.373932
0.975,4,100.39488
0.9625,6,100.432952
0.94375,9,100.481996
0.96875,5,100.532523
0.9125,14,100.607558
0.9625,6,100.643062
0.86875,21,100.753405
0.975,4,100.77543
0.975,4,100.79596
0.9875,2,100.806742
0.975,4,100.830204
0.9625,6,103.605639
0.975,4,103.626597
0.94375,9,103.672755
0.9875,2,103.683322
0.96875,5,103.705237
0.9875,2,103.714868
0.9875,2,103.723976
0.95,8,103.761018
0.96875,5,103.783928
0.96875,5,103.806193
0.96875,5,103.833902
0.9625,6,103.864688
0.95625,7,103.900708
0.9375,10,103.950527
0.9625,6,103.980127
0.95,8,104.049262
0.9625,6,104.079482
0.98125,3,104.094524
0.95,8,104.133094
0.96875,5,104.157916
0.9625,6,104.187548
0.9625,6,104.216388
0.975,4,104.235426
0.95625,7,106.980441
0.94375,9,107.025885
0.975,4,107.044379
0.96875,5,107.069162
0.98125,3,107.08356
0.96875,5,107.106667
0.96875,5,107.130004
0.94375,9,107.171487
0.9875,2,107.182559
0.95625,7,107.219901
0.95625,7,107.257652
0.98125,3,107.277431
0.99375,1,107.283186
0.975,4,107.303793
0.94375,9,107.347917
0.95,8,107.405711
0.98125,3,107.422095
0.9625,6,107.453164
0.9875,2,107.463045
0.96875,5,107.485934
0.9625,6,107.513443
0.975,4,107.531432
0.975,4,107.55007
0.975,4,107.567493
0.975,4,107.587044
0.95,8,110.328871
0.96875,5,110.35578
0.975,4,110.376611
0.94375,9,110.42018
0.98125,3,110.43538
0.975,4,110.453855
0.95625,7,110.486848
0.9375,10,110.534957
0.975,4,110.555254
0.975,4,110.579164
0.975,4,110.599567
0.975,4,110.618697
0.975,4,110.640168
0.975,4,110.657841
0.9875,2,110.667193
0.94375,9,110.733681
0.98125,3,110.748346
0.975,4,110.766752
0.91875,13,110.827213
0.95625,7,110.862152
0.94375,9,110.91003
0.98125,3,110.92545
0.9875,2,110.936899
0.9875,2,110.946685
0.95625,7,110.982876
0.96875,5,113.71023
0.95625,7,113.746765
0.89375,17,113.823071
0.95625,7,113.854901
0.925,12,113.910178
0.99375,1,113.916626
0.9375,10,113.965116
0.98125,3,113.981865
0.9625,6,114.010952
0.9375,10,114.058502
0.98125,3,114.099846
0.93125,11,114.152542
0.98125,3,114.166793
0.95625,7,114.200463
0.96875,5,114.224969
0.975,4,114.243215
0.86875,21,117.05327
0.95625,7,117.089945
0.9875,2,117.099863
0.96875,5,117.122197
0.93125,11,117.171776
0.94375,9,117.213037
0.98125,3,117.226095
0.98125,3,117.239394
0.91875,13,117.304252
0.9625,6,117.333296
0.975,4,117.355627
0.9875,2,117.365629
0.98125,3,117.379331
0.96875,5,117.402247
0.9875,2,117.411796
0.98125,3,117.449508
0.975,4,117.469133
0.9875,2,117.478936
0.975,4,117.49872
0.95,8,117.536186
0.95,8,117.575621
0.96875,5,117.598795
0.95,8,117.635584
0.95625,7,117.667609
0.95625,7,120.418757
0.96875,5,120.445107
0.9875,2,120.454623
0.9625,6,120.483091
0.9125,14,120.548913
0.95,8,120.585065
0.96875,5,120.610514
0.98125,3,120.628298
0.98125,3,120.643051
0.95,8,120.681392
0.88125,19,120.80052
0.94375,9,120.841557
0.975,4,120.859094
0.95,8,120.89629
0.96875,5,120.920673
0.9625,6,120.947987
0.96875,5,120.970722
0.99375,1,120.975545
0.96875,5,120.99914
0.9375,10,123.750867
0.95,8,123.791988
0.9,16,123.865795
0.9875,2,123.874792
0.95625,7,123.906469
0.95,8,123.944225
0.9625,6,123.974183
0.975,4,123.995381
0.98125,3,124.01012
0.96875,5,124.037146
0.99375,1,124.043244
0.95,8,124.078534
0.95625,7,124.110839
0.975,4,124.15142
0.94375,9,124.191178
0.98125,3,124.20528
0.975,4,124.225141
0.95,8,124.263155
0.975,4,124.281273
0.96875,5,124.303847
0.9625,6,124.333828
0.96875,5,124.356352
0.9875,2,127.328438
0.98125,3,127.342042
0.9125,14,127.412743
0.9625,6,127.439184
0.9625,6,127.467155
0.95625,7,127.498489
0.95625,7,127.531148
0.96875,5,127.555906
0.925,12,127.616275
0.95,8,127.65552
0.9875,2,127.665556
0.9625,6,127.693554
0.98125,3,127.7366
0.96875,5,127.759519
0.99375,1,127.764693
0.9875,2,127.773814
0.95625,7,127.804539
0.95625,7,127.835661
0.99375,1,127.840426
0.9625,6,127.86902
0.96875,5,127.890951
0.95,8,127.927051
0.975,4,127.945563
0.95625,7,130.685827
0.91875,13,130.750257
