#{"t_start": 1673387625.791161, "env_id": "MiniGrid-Empty-Random-6x6-v0"}
r,l,t
0,144,14.998135
0.6375,58,15.255644
0,144,18.558226
0.625,60,21.549576
0.7875,34,21.700431
0.96875,5,21.72196
0.4875,82,24.760732
0.7,48,24.969901
0.41875,93,28.058786
0.75,40,28.242512
0.6625,54,28.488061
0.925,12,31.262746
0.78125,35,31.414538
0.8875,18,31.52359
0.9,16,31.626093
0.6375,58,34.607306
0.94375,9,34.651591
0.90625,15,34.715516
0.96875,5,34.737134
0.50625,79,35.120917
0.925,12,35.174625
0.89375,17,37.929864
0.98125,3,37.94338
0.975,4,37.961512
0.9,16,38.03063
0.93125,11,38.080155
0.9,16,38.160372
0.925,12,38.215706
0.80625,31,38.369528
0.8875,18,38.446465
0.95,8,41.202164
0.975,4,41.221852
0.8875,18,41.301917
0.9,16,41.370916
0.99375,1,41.375433
0.9125,14,41.444956
0.9375,10,41.532604
0.98125,3,41.547097
0.88125,19,41.649102
0.9625,6,41.673833
0.8375,26,41.785004
0.98125,3,41.799139
0.9125,14,55.857222
0.975,4,55.878594
0.73125,43,56.088553
0.925,12,56.146886
0.93125,11,56.257064
0.83125,27,56.406986
0.90625,15,56.480587
0.94375,9,59.256441
0.975,4,59.362557
0.9875,2,59.37147
0.94375,9,59.413312
0.98125,3,59.426196
0.98125,3,59.439845
0.98125,3,59.454374
0.9625,6,59.483207
0.95,8,59.522085
0.75625,39,59.740922
0.9375,10,59.792193
0.9,16,59.866512
0.86875,21,59.963467
0.9625,6,62.762821
0.9625,6,62.791129
0.94375,9,62.832921
0.9625,6,62.861338
0.9375,10,62.905142
0.94375,9,62.947917
0.9625,6,62.97929
0.9125,14,63.048912
0.91875,13,63.104413
0.94375,9,63.168894
0.775,36,63.329284
0.95625,7,66.07327
0.9625,6,66.104692
0.94375,9,66.146709
0.975,4,66.164499
0.9,16,66.234685
0.925,12,66.290667
0.93125,11,66.344454
0.9625,6,66.375043
0.96875,5,66.396628
0.95,8,66.430831
0.93125,11,66.502538
0.925,12,66.555727
0.9875,2,66.564882
0.975,4,66.582491
0.96875,5,66.604558
0.9375,10,66.648622
0.9625,6,69.372264
0.98125,3,69.388331
0.95625,7,69.422848
0.90625,15,69.489531
0.94375,9,69.530417
0.975,4,69.547926
0.9875,2,69.55718
0.89375,17,69.660405
0.93125,11,69.71054
0.95,8,69.746247
0.91875,13,69.825462
0.975,4,69.846226
0.98125,3,69.863773
0.925,12,69.922591
0.96875,5,69.949128
0.9875,2,69.958025
0.9125,14,72.743073
0.975,4,72.764842
0.95625,7,72.798411
0.99375,1,72.802773
0.94375,9,72.843987
0.95625,7,72.874134
0.99375,1,72.879398
0.95625,7,72.912069
0.975,4,72.93001
0.95625,7,72.965112
0.95,8,73.003858
0.95,8,73.044296
0.98125,3,73.055946
0.96875,5,73.07806
0.96875,5,73.101364
0.975,4,73.145934
0.975,4,73.163161
0.9875,2,73.171795
0.89375,17,73.248261
0.95625,7,73.279349
0.98125,3,73.292959
0.98125,3,73.306366
0.975,4,73.324548
0.96875,5,73.348755
0.94375,9,76.103484
0.9625,6,76.132913
0.9625,6,76.159893
0.95625,7,76.190046
0.93125,11,76.240838
0.94375,9,76.285371
0.98125,3,76.301108
0.9625,6,76.329065
0.95,8,76.373623
0.9625,6,76.400166
0.98125,3,76.413903
0.95625,7,76.472258
0.9875,2,76.482178
0.96875,5,76.504704
0.96875,5,76.527259
0.96875,5,76.549933
0.99375,1,76.554108
0.95625,7,76.585541
0.96875,5,76.607446
0.925,12,76.663619
0.9125,14,79.423008
0.95,8,79.460257
0.925,12,79.515471
0.95625,7,79.547725
0.9875,2,79.556442
0.95,8,79.606474
0.98125,3,79.625515
0.95,8,79.665569
0.96875,5,79.693571
0.95,8,79.72951
0.9875,2,79.739378
0.96875,5,79.762047
0.98125,3,79.801439
0.95,8,79.837298
0.9625,6,79.865075
0.925,12,79.919956
0.95,8,79.963452
0.94375,9,80.004879
0.95625,7,82.755402
0.95625,7,82.794729
0.91875,13,82.854324
0.925,12,82.908224
0.89375,17,82.992558
0.96875,5,83.014088
0.95625,7,83.052069
0.98125,3,83.066726
0.9625,6,83.095505
0.88125,19,83.204587
0.94375,9,83.245864
0.975,4,83.26463
0.98125,3,83.277565
0.9625,6,83.30651
0.9625,6,83.335108
0.96875,5,83.360104
0.96875,5,86.082371
0.95625,7,86.118882
0.95625,7,86.153108
0.975,4,86.170802
0.96875,5,86.194994
0.95,8,86.232152
0.96875,5,86.254279
0.94375,9,86.298565
0.9625,6,86.329912
0.98125,3,86.34408
0.98125,3,86.358273
0.9625,6,86.390014
0.9625,6,86.41694
0.96875,5,86.439856
0.96875,5,86.485848
0.9125,14,86.548571
0.925,12,86.602762
0.9375,10,86.648574
0.89375,17,100.144157
0.95625,7,100.195347
0.975,4,100.221703
0.9875,2,100.23356
0.95,8,100.27796
0.95,8,100.328735
0.975,4,100.351786
0.95625,7,100.388089
0.975,4,100.410226
0.9625,6,100.447586
0.95625,7,100.485645
0.98125,3,100.502155
0.9875,2,100.536216
0.95625,7,100.573566
0.96875,5,100.601295
0.94375,9,100.652457
0.96875,5,100.680682
0.975,4,100.700739
0.96875,5,100.725617
0.98125,3,100.742046
0.96875,5,100.767789
0.9875,2,100.778843
0.96875,5,100.805087
0.96875,5,100.832534
0.96875,5,100.859064
0.98125,3,103.620071
0.96875,5,103.64659
0.975,4,103.667709
0.98125,3,103.681755
0.98125,3,103.69711
0.975,4,103.714579
0.98125,3,103.728906
0.94375,9,103.770305
0.95,8,103.806896
0.98125,3,103.82045
0.98125,3,103.837193
0.975,4,103.858871
0.9625,6,103.887917
0.9875,2,103.898291
0.98125,3,103.915757
0.95625,7,103.948406
0.9625,6,103.978273
0.975,4,104.026591
0.94375,9,104.073392
0.95625,7,104.108901
0.9875,2,104.118406
0.94375,9,104.162284
0.95625,7,104.196966
0.9875,2,104.206814
0.96875,5,104.230488
0.95625,7,104.263915
0.99375,1,104.268395
0.98125,3,106.994408
0.99375,1,106.999285
0.975,4,107.021336
0.98125,3,107.034826
0.975,4,107.053455
0.975,4,107.0725
0.94375,9,107.11642
0.95625,7,107.148492
0.9875,2,107.15754
0.94375,9,107.200433
0.96875,5,107.228912
0.975,4,107.251465
0.9875,2,107.261951
0.9625,6,107.297441
0.9625,6,107.327019
0.98125,3,107.341724
0.975,4,107.361546
0.95625,7,107.414828
0.9875,2,107.42617
0.98125,3,107.44132
0.96875,5,107.466569
0.98125,3,107.481237
0.9625,6,107.509039
0.9375,10,107.554046
0.94375,9,107.596286
0.94375,9,110.342889
0.95625,7,110.380695
0.96875,5,110.406445
0.96875,5,110.429289
0.95625,7,110.462879
0.96875,5,110.486278
0.975,4,110.505662
