#{"t_start": 1673387625.767851, "env_id": "MiniGrid-Empty-Random-6x6-v0"}
r,l,t
0.8,32,11.774323
0,144,15.156556
0.85,24,15.269116
0.725,44,15.453905
0.73125,43,18.317485
0.81875,29,18.450316
0.70625,47,18.652749
0.93125,11,18.699637
0.80625,31,21.568334
0.86875,21,21.658446
0.85625,23,21.763365
0.28125,115,24.944215
0.88125,19,25.031666
0.95625,7,25.062225
0.98125,3,25.074862
0.9375,10,25.129332
0.96875,5,25.152626
0.6625,54,28.057832
0.9375,10,28.099399
0.8875,18,28.177943
0.46875,85,31.290812
0.88125,19,31.372778
0.7375,42,31.588495
0.79375,33,31.786625
0.75,40,34.669355
0.9375,10,34.712861
0.8125,30,34.847789
0.80625,31,35.016317
0.86875,21,35.107911
0.8375,26,37.900649
0.85625,23,38.007108
0.94375,9,38.045123
0.91875,13,38.102871
0.70625,47,38.342513
0.975,4,38.359308
0.95,8,38.392602
0.875,20,38.479403
0.7125,46,41.402839
0.75625,39,41.64647
0.975,4,41.663361
0.95,8,41.696787
0.86875,21,41.787268
0.94375,9,41.826333
0.875,20,55.916826
0.9875,2,55.926772
0.85625,23,56.036015
0.93125,11,56.091801
0.90625,15,56.165381
0.98125,3,56.178821
0.94375,9,56.279508
0.9875,2,56.296148
0.90625,15,56.375837
0.925,12,56.44042
0.80625,31,59.407834
0.98125,3,59.422534
0.89375,17,59.502198
0.925,12,59.559889
0.975,4,59.583542
0.98125,3,59.603205
0.98125,3,59.625616
0.95,8,59.684399
0.875,20,59.773635
0.9375,10,59.824923
0.95625,7,59.85813
0.90625,15,59.924056
0.925,12,59.981621
0.93125,11,62.805488
0.925,12,62.860211
0.9625,6,62.888812
0.96875,5,62.910389
0.98125,3,62.923814
0.98125,3,62.938069
0.89375,17,63.021069
0.8625,22,63.12316
0.95625,7,63.177107
0.94375,9,63.21838
0.95,8,63.253932
0.98125,3,63.267198
0.9625,6,63.293959
0.94375,9,63.334599
0.9625,6,63.36019
0.925,12,66.132244
0.975,4,66.151122
0.96875,5,66.174214
0.98125,3,66.187301
0.925,12,66.240869
0.975,4,66.257565
0.96875,5,66.279914
0.96875,5,66.304076
0.95625,7,66.338008
0.8625,22,66.439933
0.89375,17,66.53882
0.9875,2,66.547207
0.93125,11,66.596117
0.9625,6,66.62298
0.975,4,66.640664
0.9625,6,66.666546
0.9875,2,66.67603
0.975,4,69.390453
0.93125,11,69.44608
0.975,4,69.463726
0.95625,7,69.495001
0.93125,11,69.544213
0.98125,3,69.5578
0.93125,11,69.617871
0.95625,7,69.660756
0.9875,2,69.671294
0.9375,10,69.720555
0.93125,11,69.769423
0.98125,3,69.804285
0.95625,7,69.834686
0.93125,11,69.891598
0.975,4,69.912688
0.925,12,69.971987
0.975,4,69.990672
0.9875,2,70.000397
0.975,4,70.022565
0.975,4,72.756375
0.9875,2,72.766136
0.89375,17,72.847644
0.975,4,72.866774
0.9875,2,72.875843
0.8875,18,72.957172
0.93125,11,73.011957
0.95625,7,73.04782
0.975,4,73.067214
0.98125,3,73.078966
0.94375,9,73.119525
0.975,4,73.163495
0.95,8,73.199614
0.975,4,73.217563
0.975,4,73.236028
0.98125,3,73.249385
0.9875,2,73.257774
0.90625,15,73.324981
0.9375,10,73.371499
0.98125,3,76.094883
0.9875,2,76.105418
0.93125,11,76.160038
0.975,4,76.177916
0.95,8,76.213283
0.9375,10,76.259308
0.95625,7,76.292782
0.96875,5,76.318347
0.9625,6,76.346872
0.94375,9,76.396429
0.9625,6,76.423184
0.95625,7,76.45437
0.98125,3,76.494943
0.96875,5,76.518542
0.94375,9,76.558997
0.98125,3,76.573082
0.94375,9,76.612882
0.95,8,76.649384
0.95625,7,76.681243
0.96875,5,76.705047
0.96875,5,79.42013
0.93125,11,79.474873
0.98125,3,79.487829
0.95,8,79.524269
0.95,8,79.561962
0.9625,6,79.59072
0.96875,5,79.621167
0.95,8,79.669756
0.9875,2,79.678991
0.96875,5,79.706545
0.9875,2,79.716395
0.94375,9,79.75731
0.9875,2,79.766912
0.98125,3,79.779704
0.93125,11,79.855515
0.9375,10,79.901546
0.94375,9,79.942897
0.96875,5,79.971087
0.9625,6,80.000736
0.9625,6,80.027764
0.94375,9,82.790787
0.95625,7,82.827483
0.9625,6,82.854618
0.93125,11,82.904336
0.9875,2,82.913015
0.975,4,82.930926
0.9375,10,82.977404
0.98125,3,82.994546
0.975,4,83.015102
0.95,8,83.052535
0.98125,3,83.069389
0.98125,3,83.084888
0.95625,7,83.118615
0.95625,7,83.17361
0.95,8,83.21021
0.975,4,83.227697
0.96875,5,83.251479
0.95,8,83.287609
0.94375,9,83.32944
0.925,12,83.387613
0.9375,10,86.137733
0.975,4,86.157436
0.96875,5,86.18037
0.98125,3,86.194099
0.96875,5,86.218268
0.96875,5,86.241271
0.98125,3,86.25524
0.96875,5,86.277426
0.96875,5,86.300309
0.98125,3,86.315774
0.95625,7,86.352671
0.975,4,86.371467
0.975,4,86.39038
0.9625,6,86.422026
0.9625,6,86.449556
0.98125,3,86.462971
0.98125,3,86.47638
0.89375,17,86.576092
0.975,4,86.593167
0.925,12,86.647793
0.98125,3,86.661741
0.975,4,86.680167
0.9625,6,86.707228
0.9625,6,100.128875
0.90625,15,100.250995
0.9875,2,100.261983
0.96875,5,100.290914
0.9875,2,100.301157
0.98125,3,100.31962
0.975,4,100.344273
0.96875,5,100.374748
0.98125,3,100.390839
0.95625,7,100.427016
0.98125,3,100.443805
0.975,4,100.470685
0.9875,2,100.482026
0.975,4,100.503777
0.9875,2,100.514018
0.95625,7,100.574569
0.98125,3,100.590482
0.99375,1,100.596035
0.98125,3,100.614297
0.975,4,100.634687
0.98125,3,100.650389
0.9625,6,100.686686
0.86875,21,100.796421
0.9875,2,100.807465
0.95625,7,100.844047
0.96875,5,100.872383
0.96875,5,103.642616
0.975,4,103.664617
0.96875,5,103.690282
0.96875,5,103.715191
0.95625,7,103.746978
0.96875,5,103.770107
0.975,4,103.788305
0.96875,5,103.811135
0.9625,6,103.838453
0.9625,6,103.870942
0.95625,7,103.905905
0.96875,5,103.932532
0.95625,7,103.966865
0.9625,6,103.996588
0.9625,6,104.054445
0.975,4,104.075162
0.94375,9,104.121135
0.975,4,104.141384
0.9875,2,104.151884
0.96875,5,104.175556
0.975,4,104.194827
0.95625,7,104.229587
0.975,4,104.248176
0.95625,7,104.282337
0.95625,7,107.028869
0.975,4,107.049242
0.96875,5,107.071291
0.9625,6,107.101016
0.95,8,107.139051
0.9625,6,107.166795
0.94375,9,107.208168
0.96875,5,107.235695
0.98125,3,107.252038
0.98125,3,107.269342
0.9875,2,107.280415
0.98125,3,107.296569
0.9875,2,107.309445
0.975,4,107.331489
0.98125,3,107.345493
0.91875,13,107.429186
0.96875,5,107.453681
0.9625,6,107.485071
0.96875,5,107.508724
0.96875,5,107.532027
0.98125,3,107.545342
0.96875,5,107.568075
0.96875,5,107.590658
0.94375,9,107.633714
0.94375,9,110.381514
0.99375,1,110.387718
0.96875,5,110.414795
0.94375,9,110.457202
0.95,8,110.495927
0.96875,5,110.518818
0.9625,6,110.54771
0.95625,7,110.582023
0.96875,5,110.610753
0.9375,10,110.662826
0.98125,3,110.676918
0.98125,3,110.690239
0.9,16,110.78911
0.94375,9,110.831457
0.95625,7,110.864382
0.9625,6,110.89418
0.96875,5,110.922999
0.95,8,110.963632
0.975,4,110.983385
0.98125,3,110.999376
0.85625,23,113.814863
0.975,4,113.832711
0.975,4,113.850885
0.975,4,113.869448
0.9875,2,113.878517
0.99375,1,113.883163
0.99375,1,113.887097
0.96875,5,113.909823
0.96875,5,113.932235
0.98125,3,113.94877
0.95625,7,113.983538
0.96875,5,114.00694
0.96875,5,114.034497
0.9625,6,114.063705
0.975,4,114.082763
0.95625,7,114.141233
0.98125,3,114.156687
0.975,4,114.175231
0.96875,5,114.198852
0.9875,2,114.208635
0.98125,3,114.223294
0.98125,3,114.237881
0.9625,6,114.267252
0.95625,7,114.301086
0.96875,5,114.324091
0.99375,1,114.33054
0.98125,3,114.345774
0.91875,13,117.117342
0.98125,3,117.132105
0.99375,1,117.136321
0.975,4,117.154424
0.96875,5,117.177482
0.975,4,117.194859
0.96875,5,117.218021
0.96875,5,117.240071
0.9875,2,117.249391
0.94375,9,117.292808
0.975,4,117.31293
0.9625,6,117.341487
0.98125,3,117.355059
0.9625,6,117.38771
0.96875,5,117.41129
0.975,4,117.429806
0.975,4,117.448929
0.9875,2,117.481117
0.95625,7,117.515957
0.98125,3,117.530705
0.9375,10,117.579034
0.975,4,117.598598
0.94375,9,117.640213
0.975,4,117.659196
0.98125,3,117.672053
0.9625,6,117.699646
0.9125,14,120.486648
0.9875,2,120.496495
0.9625,6,120.524764
0.9875,2,120.533919
0.9375,10,120.580924
0.94375,9,120.621865
0.96875,5,120.648256
0.95,8,120.689078
0.9625,6,120.719568
0.975,4,120.7437
0.95625,7,120.774852
0.98125,3,120.788435
0.9875,2,120.797683
0.95,8,120.860018
0.9625,6,120.88721
0.9125,14,120.9528
0.9625,6,120.98031
0.96875,5,121.002492
0.95625,7,121.035823
0.925,12,123.79939
0.94375,9,123.844037
0.95,8,123.879644
0.9875,2,123.888866
0.9875,2,123.897706
0.9875,2,123.906989
0.96875,5,123.930238
0.975,4,123.947459
0.975,4,123.965602
0.93125,11,124.021327
0.99375,1,124.027679
0.98125,3,124.041727
0.98125,3,124.057716
0.9625,6,124.087961
0.9625,6,124.115097
0.96875,5,124.137687
0.95,8,124.19676
0.95,8,124.232987
0.95,8,124.270091
0.9875,2,124.280438
0.99375,1,124.284935
0.9625,6,124.313695
0.95,8,124.350269
0.975,4,124.370582
0.975,4,124.388292
0.94375,9,127.395315
0.9625,6,127.425559
0.975,4,127.445012
0.98125,3,127.45724
0.9875,2,127.466657
0.96875,5,127.489586
0.98125,3,127.503712
0.95,8,127.539243
0.93125,11,127.594631
0.9875,2,127.604343
0.975,4,127.623093
0.99375,1,127.628919
0.95,8,127.668343
0.98125,3,127.683158
0.89375,17,127.791435
0.98125,3,127.806017
0.98125,3,127.820102
0.96875,5,127.84133
0.9,16,127.914622
0.9875,2,127.922972
0.9875,2,127.933098
0.9625,6,127.959001
0.96875,5,127.98213
0.98125,3,130.70089
0.96875,5,130.729469
0.96875,5,130.754199
0.98125,3,130.769047
0.9875,2,130.777939
0.95625,7,130.810586
0.94375,9,130.852522
0.925,12,130.907908
0.975,4,130.929354
0.9375,10,130.979946
0.9625,6,131.015514
0.98125,3,131.028865
0.95625,7,131.061915
0.975,4,131.1063
0.96875,5,131.129783
0.96875,5,131.153434
0.9625,6,131.180802
0.9625,6,131.209669
0.98125,3,131.223855
0.95625,7,131.255602
0.96875,5,131.279039
0.96875,5,131.300585
0.975,4,131.319044
0.96875,5,144.770445
0.975,4,144.794942
0.975,4,144.816406
0.94375,9,144.863906
0.975,4,144.883807
0.9625,6,144.915044
0.975,4,144.935347
0.98125,3,144.952776
0.96875,5,144.982351
0.95625,7,145.035108
0.96875,5,145.063789
0.9625,6,145.098129
0.98125,3,145.114714
0.9625,6,145.145835
0.9625,6,145.193949
0.975,4,145.214895
0.975,4,145.234289
0.975,4,145.255023
0.95,8,145.297169
0.975,4,145.316889
0.975,4,145.338021
0.9875,2,145.348296
0.96875,5,145.375546
0.975,4,145.395742
0.98125,3,145.410534
0.95625,7,145.445241
0.95625,7,148.231044
0.96875,5,148.258403
0.95625,7,148.294504
0.94375,9,148.334166
0.98125,3,148.347985
0.94375,9,148.388339
0.94375,9,148.430972
0.96875,5,148.457098
0.975,4,148.479112
0.98125,3,148.493662
0.96875,5,148.517895
0.95,8,148.557933
