#{"t_start": 1673387625.797152, "env_id": "MiniGrid-Empty-Random-6x6-v0"}
r,l,t
0.98125,3,107.385041
0.98125,3,107.400061
0.975,4,107.420026
0.9625,6,107.451033
0.96875,5,107.47514
0.9625,6,107.502824
0.98125,3,107.516657
0.9625,6,107.543422
0.98125,3,107.557052
0.91875,13,107.618744
0.9625,6,110.352278
0.93125,11,110.409223
0.96875,5,110.433617
0.94375,9,110.475215
0.925,12,110.532208
0.95625,7,110.570856
0.95625,7,110.6066
0.9375,10,110.657049
0.9625,6,110.684627
0.98125,3,110.698018
0.98125,3,110.736173
0.98125,3,110.751246
0.98125,3,110.764688
0.90625,15,110.835414
0.98125,3,110.851386
0.95,8,110.893636
0.99375,1,110.898824
0.94375,9,110.943802
0.96875,5,110.970544
0.93125,11,113.72917
0.9375,10,113.776463
0.9875,2,113.785651
0.95625,7,113.817127
0.98125,3,113.830768
0.98125,3,113.844496
0.975,4,113.862559
0.9625,6,113.889193
0.99375,1,113.893732
0.9875,2,113.903277
0.9125,14,113.972251
0.9625,6,114.005294
0.95625,7,114.038705
0.9875,2,114.047605
0.925,12,114.132645
0.975,4,114.15157
0.95625,7,114.185091
0.98125,3,114.199367
0.93125,11,114.251469
0.98125,3,114.266612
0.9875,2,114.276379
0.79375,33,117.143971
0.9375,10,117.18874
0.975,4,117.206352
0.9375,10,117.253252
0.98125,3,117.269696
0.975,4,117.289515
0.9875,2,117.298543
0.9625,6,117.325819
0.9375,10,117.377437
0.975,4,117.395532
0.95625,7,117.451942
0.975,4,117.471809
0.9625,6,117.501967
0.93125,11,117.555053
0.9875,2,117.564181
0.9875,2,117.573924
0.95625,7,117.60651
0.94375,9,117.647243
0.94375,9,120.407276
0.86875,21,120.509435
0.95,8,120.545971
0.9375,10,120.593175
0.95625,7,120.631163
0.95625,7,120.66521
0.98125,3,120.678834
0.95,8,120.723631
0.95,8,120.759399
0.95625,7,120.816802
0.975,4,120.835446
0.8625,22,120.937953
0.96875,5,120.95981
0.94375,9,121.001993
0.9875,2,121.011075
0.95625,7,123.7487
0.94375,9,123.794566
0.94375,9,123.837312
0.95625,7,123.868441
0.98125,3,123.88303
0.9875,2,123.891963
0.99375,1,123.896801
0.9625,6,123.922448
0.95,8,123.961371
0.95625,7,123.998665
0.9375,10,124.050326
0.9875,2,124.058961
0.93125,11,124.108792
0.98125,3,124.14444
0.93125,11,124.194107
0.98125,3,124.208038
0.99375,1,124.213185
0.9375,10,124.260731
0.975,4,124.278718
0.95625,7,124.311718
0.90625,15,127.344719
0.91875,13,127.410228
0.975,4,127.428158
0.975,4,127.447095
0.96875,5,127.470106
0.9375,10,127.515649
0.9625,6,127.543361
0.98125,3,127.559192
0.95625,7,127.593891
0.975,4,127.613535
0.9625,6,127.643721
0.99375,1,127.649426
0.9375,10,127.696847
0.95625,7,127.757594
0.91875,13,127.817106
0.9375,10,127.862861
0.95625,7,127.893661
0.95625,7,127.925384
0.96875,5,127.948357
0.96875,5,130.676607
0.975,4,130.700437
0.95625,7,130.734634
0.9625,6,130.762499
0.96875,5,130.786453
0.98125,3,130.800136
0.93125,11,130.849815
0.95625,7,130.882876
0.94375,9,130.928635
0.95625,7,130.971208
0.9625,6,130.999797
0.98125,3,131.014961
0.96875,5,131.037545
0.925,12,131.119973
0.99375,1,131.124528
0.9625,6,131.1515
0.975,4,131.170666
0.98125,3,131.184979
0.96875,5,131.207825
0.95625,7,131.240161
0.99375,1,131.245642
0.95625,7,131.275559
0.9875,2,131.285725
0.9625,6,144.741415
0.95,8,144.787319
0.98125,3,144.802966
0.975,4,144.823846
0.98125,3,144.839541
0.94375,9,144.885813
0.975,4,144.906364
0.95625,7,144.94694
0.95625,7,144.99995
0.975,4,145.022349
0.95,8,145.069397
0.95625,7,145.106174
0.96875,5,145.148872
0.99375,1,145.153906
0.9375,10,145.205036
0.96875,5,145.23205
0.96875,5,145.257407
0.99375,1,145.263006
0.96875,5,145.287649
0.975,4,145.308633
0.975,4,145.330469
0.98125,3,145.346424
0.95625,7,145.381425
0.9625,6,145.411554
0.9625,6,148.19247
0.975,4,148.213414
0.96875,5,148.239706
0.9875,2,148.250802
0.95625,7,148.283173
0.95625,7,148.314072
0.9625,6,148.340995
0.95625,7,148.373053
0.99375,1,148.378828
0.95,8,148.417345
0.99375,1,148.422198
0.95625,7,148.458321
0.95625,7,148.496575
0.96875,5,148.520047
0.95625,7,148.552267
0.96875,5,148.603877
0.9625,6,148.631643
0.95625,7,148.663889
0.96875,5,148.68655
0.98125,3,148.699821
0.98125,3,148.713647
0.9875,2,148.723521
0.96875,5,148.747599
0.98125,3,148.762072
0.9625,6,148.787982
0.98125,3,148.802142
0.95625,7,151.544984
0.975,4,151.566005
0.91875,13,151.630502
0.95625,7,151.662947
0.98125,3,151.676598
0.91875,13,151.736657
0.95,8,151.778364
0.9875,2,151.788159
0.95625,7,151.822118
0.96875,5,151.850402
0.94375,9,151.892638
0.95625,7,151.949017
0.94375,9,151.991127
0.86875,21,152.087868
0.975,4,152.106477
0.975,4,152.125583
0.975,4,152.144383
0.975,4,152.162203
0.99375,1,152.167173
0.98125,3,154.880169
0.98125,3,154.895495
0.9625,6,154.924433
0.96875,5,154.948805
0.9875,2,154.957639
0.95625,7,154.992607
0.95,8,155.030622
0.96875,5,155.053074
0.98125,3,155.06728
0.96875,5,155.090704
0.95,8,155.132444
0.98125,3,155.146776
0.96875,5,155.172835
0.96875,5,155.196776
0.975,4,155.21465
0.96875,5,155.237901
0.9375,10,155.305105
0.99375,1,155.309524
0.99375,1,155.314287
0.95625,7,155.346431
0.98125,3,155.359915
0.95625,7,155.392089
0.975,4,155.410371
0.925,12,155.465222
0.9375,10,158.21914
0.95625,7,158.254265
0.9875,2,158.264913
0.9875,2,158.273489
0.96875,5,158.295618
0.975,4,158.313004
0.98125,3,158.327248
0.9625,6,158.35358
0.975,4,158.371707
0.96875,5,158.39481
0.99375,1,158.399761
0.9125,14,158.470458
0.96875,5,158.493603
0.98125,3,158.510299
0.99375,1,158.516233
0.95625,7,158.550026
0.90625,15,158.644644
0.975,4,158.663025
0.9625,6,158.690345
0.9875,2,158.700176
0.9625,6,158.727864
0.98125,3,158.741533
0.9625,6,158.769861
0.94375,9,158.809994
0.975,4,158.828231
0.96875,5,161.567614
0.98125,3,161.585488
0.9875,2,161.595623
