#{"t_start": 1673387625.8219159, "env_id": "MiniGrid-Empty-Random-6x6-v0"}
r,l,t
0.925,12,11.620818
0,144,15.017226
0,144,18.320312
0.98125,3,18.333776
0,144,21.700064
0.4,96,24.799006
0.9625,6,24.823734
0.76875,37,24.990723
0.74375,41,25.182405
0.9125,14,27.91011
0.86875,21,28.004036
0.84375,25,28.110708
0.96875,5,28.133596
0.95625,7,28.165922
0.775,36,28.344314
0.34375,105,31.566966
0.84375,25,31.714669
0.9,16,31.787081
0.85,24,34.59542
0.975,4,34.615256
0.9375,10,34.658924
0.64375,57,34.923076
0.95,8,34.981546
0.9125,14,35.04091
0.98125,3,35.053928
0.95625,7,35.085547
0.9375,10,35.130724
0.9625,6,35.157833
0.85625,23,37.940319
0.8,32,38.085899
0.8625,22,38.189259
0.46875,85,41.301987
0.8875,18,41.385856
0.8375,26,41.566304
0.975,4,41.583661
0.7625,38,41.745849
0.9375,10,55.776628
0.9375,10,55.831471
0.8625,22,55.938545
0.9125,14,56.009334
0.9375,10,56.057722
0.94375,9,56.102323
0.91875,13,56.219835
0.9,16,56.312831
0.95625,7,56.347557
0.975,4,56.37089
0.975,4,56.392054
0.90625,15,56.462804
0.93125,11,59.335965
0.99375,1,59.340395
0.98125,3,59.353777
0.98125,3,59.368498
0.9875,2,59.377533
0.9875,2,59.387303
0.9125,14,59.452252
0.98125,3,59.467937
0.94375,9,59.512216
0.875,20,59.643492
0.93125,11,59.692192
0.98125,3,59.705319
0.94375,9,59.750485
0.98125,3,59.766709
0.975,4,59.785949
0.9625,6,59.813424
0.96875,5,59.835617
0.93125,11,59.885632
0.925,12,62.710399
0.91875,13,62.773667
0.9875,2,62.783229
0.90625,15,62.852216
0.925,12,62.905546
0.96875,5,62.932822
0.94375,9,62.976146
0.81875,29,63.133124
0.9625,6,63.159858
0.925,12,63.213249
0.8875,18,63.293151
0.8625,22,66.110448
0.94375,9,66.151285
0.96875,5,66.173233
0.95,8,66.208111
0.975,4,66.225988
0.93125,11,66.279032
0.925,12,66.340136
0.925,12,66.390489
0.8625,22,66.510562
0.9875,2,66.520731
0.98125,3,66.534142
0.9125,14,66.595085
0.94375,9,66.635722
0.98125,3,69.345614
0.975,4,69.367648
0.975,4,69.387902
0.95,8,69.423277
0.9375,10,69.468416
0.90625,15,69.537038
0.9875,2,69.549332
0.9875,2,69.564405
0.94375,9,69.617672
0.81875,29,69.771744
0.96875,5,69.794664
0.975,4,69.815433
0.86875,21,69.92284
0.975,4,69.941631
0.9375,10,72.707322
0.925,12,72.767541
0.98125,3,72.780744
0.95,8,72.817331
0.925,12,72.871957
0.93125,11,72.924003
0.98125,3,72.939043
0.9625,6,72.967739
0.975,4,72.987233
0.91875,13,73.047163
0.94375,9,73.115032
0.9375,10,73.158873
0.85625,23,73.261802
0.86875,21,76.072398
0.95625,7,76.106157
0.96875,5,76.128817
0.94375,9,76.168747
0.975,4,76.187581
0.9625,6,76.21523
0.98125,3,76.228313
0.95625,7,76.264873
0.98125,3,76.278238
0.96875,5,76.302952
0.95625,7,76.34276
0.96875,5,76.365126
0.93125,11,76.441269
0.9875,2,76.451302
0.91875,13,76.509931
0.9375,10,76.554678
0.9875,2,76.563825
0.9625,6,76.590934
0.9875,2,76.600014
0.975,4,76.618079
0.95625,7,76.651347
0.93125,11,79.396658
